,userFollowerCount,userFollowingCount,userBiographyLength,userMediaCount,userHasProfilPic,userIsPrivate,usernameDigitCount,usernameLength,isFake,Follower_to_Following_ratio
0,258,238,0,0,1,0,0,10,0,1.084033613445378
1,263,482,30,29,1,1,0,8,0,0.5456431535269709
2,51,78,9,0,1,1,0,10,0,0.6538461538461539
3,297,480,22,25,1,1,2,9,0,0.61875
4,113,242,0,95,1,1,0,10,0,0.4669421487603306
5,545,995,26,340,1,1,0,8,0,0.5477386934673367
6,52,121,0,30,1,1,0,9,0,0.4297520661157025
7,1038,6640,0,156,1,0,0,12,0,0.15632530120481927
8,172,227,51,10,1,0,0,10,0,0.7577092511013216
9,101,114,14,4,1,1,0,15,0,0.8859649122807017
10,250,247,31,4,1,0,0,7,0,1.0121457489878543
11,413,677,0,38,1,1,0,15,0,0.6100443131462334
12,172,187,1,7,1,1,0,10,0,0.9197860962566845
13,337,455,0,2,1,1,0,14,0,0.7406593406593407
14,114,155,29,8,1,1,2,12,0,0.7354838709677419
15,174,165,0,76,1,1,1,9,0,1.0545454545454545
16,372,362,36,13,1,1,0,7,0,1.0276243093922652
17,338,330,41,17,1,0,0,12,0,1.0242424242424242
18,2207,593,47,198,1,0,0,15,0,3.721753794266442
19,449,410,19,19,1,1,0,8,0,1.0951219512195123
20,594,863,105,276,1,1,0,9,0,0.6882966396292005
21,679,764,23,39,1,1,0,11,0,0.8887434554973822
22,569,539,41,95,1,1,0,11,0,1.0556586270871986
23,540,543,0,73,1,1,0,12,0,0.994475138121547
24,441,368,25,30,1,1,0,8,0,1.1983695652173914
25,570,455,37,120,1,1,0,10,0,1.2527472527472527
26,368,1114,16,69,1,0,0,8,0,0.3303411131059246
27,634,648,59,21,1,0,0,9,0,0.9783950617283951
28,687,539,18,78,1,0,0,9,0,1.274582560296846
29,579,413,36,221,1,0,0,11,0,1.4019370460048426
30,752,726,0,312,1,1,0,12,0,1.0358126721763086
31,861,686,0,323,1,0,0,9,0,1.2551020408163265
32,535,368,122,49,1,1,0,18,0,1.453804347826087
33,1872,1806,39,374,1,1,0,11,0,1.0365448504983388
34,257,149,33,39,1,0,0,7,0,1.7248322147651007
35,3140,496,63,807,1,1,0,5,0,6.330645161290323
36,491,745,0,373,1,1,3,16,0,0.6590604026845638
37,434,528,23,93,1,1,0,9,0,0.821969696969697
38,1073,837,0,49,1,1,0,14,0,1.2819593787335724
39,1532,1431,57,313,1,1,0,11,0,1.0705800139762405
40,737,875,87,53,1,0,0,10,0,0.8422857142857143
41,335,353,26,2,1,1,0,14,0,0.9490084985835694
42,399,364,47,9,1,1,0,16,0,1.0961538461538463
43,310,330,0,0,1,1,1,5,0,0.9393939393939394
44,392,379,21,8,1,0,0,13,0,1.0343007915567282
45,163,186,0,0,1,1,0,8,0,0.8763440860215054
46,642,707,8,10,1,1,0,12,0,0.9080622347949081
47,594,800,28,21,1,1,0,12,0,0.7425
48,295,302,11,2,1,1,0,11,0,0.9768211920529801
49,377,539,76,40,1,0,0,11,0,0.699443413729128
50,345,393,0,2,1,1,0,8,0,0.8778625954198473
51,667,660,0,20,1,1,0,7,0,1.0106060606060605
52,347,610,44,14,1,1,2,14,0,0.5688524590163935
53,340,378,27,9,1,1,0,12,0,0.8994708994708994
